Club,Distance,Confidence,Ball Flight
1,253,7,fade
1,256,9,straight
1,245,9,straight
1,234,6,draw
1,185,4,shank
3,200,9,straight
3,187,8,straight
3,189,8,straight
3,195,10,straight
3,185,8,fade
4,180,9,straight
4,174,9,straight
4,150,7,fade
4,156,6,straight
4,100,3,shank
5,170,8,straight
5,168,9,shank
5,166,8,fade
5,175,7,straight
5,160,8,straight
6,155,4,straight
6,150,8,straight
6,160,6,straight
6,100,2,shank
6,145,10,fade
7,140,8,draw
7,148,8,shank
7,126,6,straight
7,150,9,straight
7,150,8,straight
8,140,6,straight
8,136,4,fade
8,110,9,straight
8,139,8,straight
8,135,8,fade
9,129,10,straight
9,126,8,shank
9,130,9,straight
9,140,9,shank
9,136,7,fade
10,110,6,straight
10,126,3,shank
10,105,8,straight
10,75,9,shank
10,108,8,fade
11,80,7,straight
11,72,8,straight
11,75,4,straight
11,70,8,straight
11,82,6,straight
12,95,7,shank
12,82,6,fade
12,90,4,draw
12,78,9,shank
12,56,8,straight
13,67,8,straight
13,65,10,straight
13,62,8,straight
13,70,9,straight
13,67,9,straight
